bodyId,type,instance
49096,BM,BM_R
49164,AN08B023,AN08B023_L
50285,AN17A047,AN17A047_R
50566,BM,BM_R
52104,AN09B023,AN09B023_L
52455,GNG492,GNG492_L
53581,AN09B021,AN09B021_L
53588,AN01A006,AN01A006_R
56218,AN17A024,AN17A024_L
56630,AN05B049_c,AN05B049_c_L
56710,AN01A021,AN01A021_R
56906,AN09B023,AN09B023_R
58725,AN09B009,AN09B009_R
58828,BM,BM_R
60372,AN05B049_c,AN05B049_c_R
61729,BM,BM_L
62405,DNg39,DNg39_L
63880,GNG181,GNG181_L
66518,AN09B009,AN09B009_L
67239,ANXXX024,ANXXX024_R
68405,BM,BM_R
69797,JO-CM,JO-CM_L
70636,ANXXX024,ANXXX024_L
70705,BM,BM_L
79634,ANXXX037,ANXXX037_R
80212,AN08B005,AN08B005_L
81912,BM_vOcci_vPoOr,BM_vOcci_vPoOr_L
81935,BM_MaPa,BM_MaPa_R
84707,BM_Vib,BM_Vib_L
85538,AN05B049_b,AN05B049_b_R
89002,JO-FV,JO-FV_R
91163,GNG429,GNG429_R
93000,BM,BM_L
97950,BM_Vib,BM_Vib_R
98212,BM,BM_R
98764,AN04A001,AN04A001_L
101318,BM_Vib,BM_Vib_R
104738,AN05B069,AN05B069_L
106104,AN05B045,AN05B045_L
106770,,
108254,,
108358,BM,BM_R
109201,BM_Vib,BM_Vib_L
111272,BM,BM_L
111673,BM_Vib,BM_Vib_R
114110,,
120430,,
120703,BM_Vib,BM_Vib_L
121953,BM_Vib,BM_Vib_R
124578,ANXXX086,ANXXX086_R
124689,AN05B054_a,AN05B054_a_L
127912,JO-FV,JO-FV_L
128571,BM_Vib,BM_Vib_L
131757,BM_Vib,BM_Vib_L
134177,BM,BM_L
137839,AN05B054_b,AN05B054_b_R
146314,JO-FV,JO-FV_L
152829,BM_Vib,BM_Vib_L
154152,JO-FV,JO-FV_L
156256,BM,BM_L
158361,,
158715,BM_MaPa,BM_MaPa_L
162471,AN09B020,AN09B020_R
166035,BM_Vib,BM_Vib_R
169850,AN08B005,AN08B005_R
169936,BM,BM_L
170014,JO-FV,JO-FV_L
173087,BM_Vib,BM_Vib_L
175014,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
176912,BM_Vib,BM_Vib_L
179637,JO-FV,JO-FV_L
180061,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
181692,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
183851,,
183993,JO-FV,JO-FV_R
184643,BM_InOm,BM_InOm_L
188780,JO-FD2,JO-FD2_L
189057,BM_Taste,BM_Taste_R
189426,BM_InOm,BM_InOm_L
189997,BM_InOm,BM_InOm_L
190983,BM_InOm,BM_InOm_R
191539,BM_InOm,BM_InOm_L
192612,BM_InOm,BM_InOm_L
193450,BM_InOm,BM_InOm_L
193699,BM_InOm,BM_InOm_L
195910,BM_InOm,BM_InOm_L
199395,BM_MaPa,BM_MaPa_L
199738,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
202814,BM_InOm,BM_InOm_L
203208,BM_InOm,BM_InOm_L
203822,BM_InOm,BM_InOm_L
206889,BM_InOm,BM_InOm_L
207348,BM_InOm,BM_InOm_L
207504,BM_InOm,BM_InOm_L
208200,BM_InOm,BM_InOm_L
208719,BM_InOm,BM_InOm_L
209503,BM_InOm,BM_InOm_R
210111,BM_MaPa,BM_MaPa_R
210251,BM_InOm,BM_InOm_L
210253,BM_InOm,BM_InOm_L
210476,BM_InOm,BM_InOm_L
210817,BM,BM_L
210915,BM_InOm,BM_InOm_L
211020,BM_InOm,BM_InOm_L
211092,BM_InOm,BM_InOm_L
211409,BM_InOm,BM_InOm_R
212198,BM_InOm,BM_InOm_L
212910,BM_MaPa,BM_MaPa_R
212922,BM_InOm,BM_InOm_L
213138,BM_InOm,BM_InOm_L
213211,BM_InOm,BM_InOm_L
214285,BM_InOm,BM_InOm_L
214463,JO-unclear,JO-unclear_L
214478,BM_InOm,BM_InOm_L
214767,BM_InOm,BM_InOm_L
215032,BM_InOm,BM_InOm_L
215573,BM_InOm,BM_InOm_L
215643,BM_InOm,BM_InOm_L
216573,BM_InOm,BM_InOm_L
217750,BM_InOm,BM_InOm_L
217851,BM_InOm,BM_InOm_L
218513,JO-FV,JO-FV_R
218719,BM_InOm,BM_InOm_L
218722,ANXXX086,ANXXX086_L
218888,BM_InOm,BM_InOm_R
219189,,
219374,BM_InOm,BM_InOm_L
220166,BM_InOm,BM_InOm_L
220170,BM_InOm,BM_InOm_L
220523,BM_InOm,BM_InOm_L
220580,BM_InOm,BM_InOm_L
220685,BM_InOm,BM_InOm_L
221163,BM_InOm,BM_InOm_L
221349,BM_InOm,BM_InOm_L
221428,BM_InOm,BM_InOm_L
221504,BM_InOm,BM_InOm_L
221715,BM_InOm,BM_InOm_L
221778,BM_InOm,BM_InOm_L
221779,BM_InOm,BM_InOm_L
221788,BM_InOm,BM_InOm_L
222144,BM_InOm,BM_InOm_L
222415,BM_InOm,BM_InOm_L
223296,BM_InOm,BM_InOm_L
223575,BM_InOm,BM_InOm_L
223714,BM_InOm,BM_InOm_L
223943,BM_InOm,BM_InOm_L
224058,BM_InOm,BM_InOm_L
224061,JO-FD2,JO-FD2_R
224225,BM_InOm,BM_InOm_L
224261,JO-FV,JO-FV_L
224404,BM_InOm,BM_InOm_L
224633,BM_InOm,BM_InOm_R
225563,BM_InOm,BM_InOm_L
225619,BM_InOm,BM_InOm_R
226280,BM_InOm,BM_InOm_L
226965,BM_InOm,BM_InOm_L
227023,BM_InOm,BM_InOm_L
227275,BM_InOm,BM_InOm_L
227896,BM_InOm,BM_InOm_L
228003,BM_InOm,BM_InOm_L
228237,BM_InOm,BM_InOm_L
228252,BM_InOm,BM_InOm_L
228329,BM_InOm,BM_InOm_L
228534,BM_InOm,BM_InOm_L
228930,BM_InOm,BM_InOm_L
229032,BM_InOm,BM_InOm_L
229401,BM_InOm,BM_InOm_L
229434,BM_InOm,BM_InOm_L
229440,BM_InOm,BM_InOm_L
229545,BM_InOm,BM_InOm_L
229891,BM_InOm,BM_InOm_L
230007,BM_InOm,BM_InOm_R
230757,BM_InOm,BM_InOm_L
230996,BM_InOm,BM_InOm_L
231188,BM_MaPa,BM_MaPa_R
231544,BM_InOm,BM_InOm_L
231648,BM,BM_R
231826,BM_InOm,BM_InOm_L
231925,BM_InOm,BM_InOm_L
232031,BM_InOm,BM_InOm_L
232742,BM_InOm,BM_InOm_L
232995,BM_InOm,BM_InOm_L
232997,BM_InOm,BM_InOm_L
233045,BM_InOm,BM_InOm_L
233166,BM_InOm,BM_InOm_L
233717,BM_InOm,BM_InOm_L
234075,BM_InOm,BM_InOm_L
234346,BM_InOm,BM_InOm_L
234380,BM_InOm,BM_InOm_L
235133,JO-CM,JO-CM_R
235206,BM_InOm,BM_InOm_L
235830,BM_InOm,BM_InOm_L
236166,BM_InOm,BM_InOm_L
236601,BM_InOm,BM_InOm_L
236733,BM_InOm,BM_InOm_L
237207,BM_InOm,BM_InOm_L
237468,BM_InOm,BM_InOm_L
237833,JO-FV,JO-FV_L
238266,BM_InOm,BM_InOm_L
238279,BM_InOm,BM_InOm_L
238358,BM_InOm,BM_InOm_L
238803,BM_InOm,BM_InOm_L
240429,BM_InOm,BM_InOm_L
240648,BM_InOm,BM_InOm_L
241227,BM_Vib,BM_Vib_R
241273,BM_InOm,BM_InOm_L
241942,BM_InOm,BM_InOm_L
242463,BM_InOm,BM_InOm_L
242623,BM_InOm,BM_InOm_L
242842,BM_InOm,BM_InOm_L
243283,BM_InOm,BM_InOm_L
244467,BM_InOm,BM_InOm_L
244560,BM_InOm,BM_InOm_L
244621,BM_InOm,BM_InOm_L
244634,BM_InOm,BM_InOm_L
244762,BM_InOm,BM_InOm_L
244900,BM_InOm,BM_InOm_L
245258,BM_InOm,BM_InOm_L
245627,BM_InOm,BM_InOm_L
246484,JO-FV,JO-FV_L
246573,BM_InOm,BM_InOm_R
246760,BM_InOm,BM_InOm_L
246970,BM_InOm,BM_InOm_L
247028,JO-FV,JO-FV_L
247499,BM_InOm,BM_InOm_L
247785,BM_InOm,BM_InOm_L
248139,BM_InOm,BM_InOm_L
248702,BM_InOm,BM_InOm_L
249230,BM_InOm,BM_InOm_R
249354,BM_InOm,BM_InOm_L
249601,BM,BM_L
249680,BM_InOm,BM_InOm_L
249687,BM_InOm,BM_InOm_L
249814,BM_InOm,BM_InOm_L
250870,BM_InOm,BM_InOm_L
