bodyId,type,instance
23323,AN10B015,AN10B015_L
23382,AN01B002,AN01B002(23382)_R
23566,AN17A004,AN17A004_R
23784,AN09B024,AN09B024_R
24022,AN09B024,AN09B024_L
24115,AN19A018,AN19A018(24115)_R
24966,ANXXX026,ANXXX026_L
25047,AN09B020,AN09B020_L
25185,AN09A007,AN09A007_L
25582,BM_Taste,BM_Taste_L
25821,GNG611,GNG611_R
26144,BM_Vib,BM_Vib_L
26241,AN01B002,AN01B002(26241)_L
26471,AN01B002,AN01B002(26241)_R
26519,JO-FV,JO-FV_R
26873,,
27599,GNG448,GNG448_L
27635,GNG449,GNG449_R
27702,ANXXX013,ANXXX013_L
27797,AN09A007,AN09A007_R
27964,AN09B026,AN09B026_R
28455,ANXXX404,ANXXX404_L
28584,ANXXX013,ANXXX013_R
28826,AN09B009,AN09B009_L
28856,AN09B009,AN09B009_R
29161,,
29334,AN09B018,AN09B018_R
29450,GNG493,GNG493_R
29485,,
30088,AN13B002,AN13B002_L
30366,GNG449,GNG449_L
31055,JO-FV,JO-FV_R
32102,GNG297,GNG297_M
33400,AN08B016,AN08B016_R
33829,DNg83,DNg83_R
33990,GNG429,GNG429_R
34590,DNge182,DNge182_R
34980,GNG429,GNG429_L
35203,GNG669,GNG669_R
35440,AN08B016,AN08B016_L
35921,AN09B030,AN09B030_R
35966,AN17A015,AN17A015_L
36082,GNG450,GNG450_L
36667,AN09B020,AN09B020_R
36948,BM,BM_R
37743,AN05B069,AN05B069_L
38005,AN09B030,AN09B030_L
38160,JO-FD1,JO-FD1_L
38419,BM_Taste,BM_Taste_L
39100,GNG612,GNG612_R
39338,GNG669,GNG669_L
39549,BM_Vt_PoOc,BM_Vt_PoOc_R
39736,AN05B052,AN05B052_R
40743,LN-DN1,LN-DN1_L
40877,ANXXX005,ANXXX005_L
42148,AN17A031,AN17A031_L
42467,AN17A003,AN17A003_L
42580,ANXXX092,ANXXX092_L
42626,CB2751,CB2751_L
42685,AN12B055,AN12B055_R
43003,AN12B055,AN12B055_R
43210,AN05B052,AN05B052_L
43340,AN09B021,AN09B021_R
