Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3)
43321,g24695,"flywireType: KCab,hemibrainType: KCab-m,KCab-c,KCab-s,statusLabel: Roughly traced,supertype: 11862",DA,0.74,,,,,,cb_intrinsic,Kenyon_Cell,,MBp1,,right,KCab-m,KCab-m,,,
43323,g12473,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Mi1,Mi1,,,
43324,g,"statusLabel: Prelim Roughly traced,supertype: 17536",GABA,0.87,,,,,,cb_intrinsic,,,MD3,,left,CB0986,CB0986,,,
43325,g12473,statusLabel: Prelim Roughly traced,ACH,0.96,,,,,,ol_intrinsic,,,,,left,Mi1,Mi1,,,
43326,g13593,"statusLabel: Roughly traced,supertype: 12783",ACH,0.94,,,,,,visual_projection,,,VPNd2,,right,LC10d,LC10d,,,
43327,g15710,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,TmY3,TmY3,,,
43328,g12473,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Mi1,Mi1,,,
43329,g13979,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm1,Tm1,,,
43330,g35119,"flywireType: SLP114,SLP115,statusLabel: Roughly traced,supertype: 19501",ACH,0.94,,,,,,cb_intrinsic,,,LHa1,,right,SLP114,SLP114,,,
43331,g17565,statusLabel: Roughly traced,GLUT,0.55,,,,,,cb_intrinsic,,,putative_primary,,right,,,,,
43332,g16041,"flywireType: Pm02,statusLabel: Roughly traced",GABA,0.86,,,,,,ol_intrinsic,,,,,right,Pm5,Pm5,,,
43333,g11153,"statusLabel: Roughly traced,supertype: 11153",ACH,0.95,,,,,,visual_projection,,,VPNd1,,right,LC22,LC22,,,
43334,g15710,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,TmY3,TmY3,,,
43335,g13979,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Tm1,Tm1,,,
43336,g19501,"flywireType: SLP114,SLP115,statusLabel: Roughly traced,supertype: 19501",ACH,0.85,,,,,,cb_intrinsic,,,LHa1,,right,SLP115,SLP115,,,
43339,g10921,statusLabel: Prelim Roughly traced,ACH,0.96,,,,,,ol_intrinsic,,,,,left,Y3,Y3,,,
43340,g43340,"flywireType: AN_GNG_AVLP_2,mancBodyid: 13393,statusLabel: Prelim Roughly traced",GLUT,0.81,,,,,,ascending_neuron,,BA,09B,,right,AN09B021,AN09B021,,,
43341,g17314,"flywireType: MLt6,statusLabel: Roughly traced",ACH,0.96,,,,,,ol_intrinsic,,,,,right,MeLo4,MeLo4,,,
43342,g15528,"hemibrainType: LLPC2a,LLPC2b,LLPC2c,LLPC2d,statusLabel: Roughly traced",ACH,0.96,,,,,,visual_projection,,,,,right,LLPC2,LLPC2,,,
43343,g16911,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm26,Tm26,,,
43344,g,"flywireType: CB0968,CB2598,statusLabel: Prelim Roughly traced,supertype: 19776",ACH,0.95,,,,,,cb_intrinsic,,,SLPad1_anterior,,right,,,,,
43345,g11000,statusLabel: Roughly traced,ACH,0.9,,,,,,ol_intrinsic,,,,,right,Tm16,Tm16,,,
43346,g10642,statusLabel: Reviewed,,,,,,,,ol_intrinsic,,,,,left,Lawf2,Lawf2,,,
43348,g12970,statusLabel: Roughly traced,,,,,,,,ol_intrinsic,,,,,right,T1,T1,,,
43349,g12463,statusLabel: Prelim Roughly traced,GABA,0.9,,,,,,ol_intrinsic,,,,,left,C3,C3,,,
43350,g,"flywireType: WED26b,statusLabel: Prelim Roughly traced,supertype: 23696",GABA,0.82,,,,,,cb_intrinsic,,,WEDa2,,left,WED26,WED26,,,
43351,g25631,"flywireType: KCapbp-ap1,hemibrainType: KCa'b'-ap1,instance: KCa'b'-ap1,statusLabel: Roughly traced,supertype: 17488",DA,0.67,,,,,,cb_intrinsic,Kenyon_Cell,,MBp1,,left,KCab-ap1,KCab-ap1,,,
43352,g11000,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm16,Tm16,,,
43353,g10465,statusLabel: Roughly traced,GLUT,0.82,,,,,,ol_intrinsic,,,,,right,L1,L1,,,
43354,g14292,"statusLabel: Roughly traced,supertype: 14292",DA,0.78,,,,,,cb_intrinsic,Kenyon_Cell,,MBp3,,left,KCg-m,KCg-m,,,
43355,g12473,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Mi1,Mi1,,,
43356,g16488,"flywireType: Y1,statusLabel: Roughly traced",GLUT,0.81,,,,,,ol_intrinsic,,,,,right,Y13,Y13,,,
43357,g25555,"flywireType: CB1355,statusLabel: Roughly traced,supertype: 17232",ACH,0.94,,,,,,cb_intrinsic,,,VLPl&p1_posterior,,right,LAL136_b,LAL136_b,,,
43358,g25631,"flywireType: KCapbp-ap1,hemibrainType: KCa'b'-ap1,instance: KCa'b'-ap1,statusLabel: Roughly traced,supertype: 17488",DA,0.69,,,,,,cb_intrinsic,Kenyon_Cell,,MBp3,,right,KCab-ap1,KCab-ap1,,,
43359,g10350,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,L2,L2,,,
43360,g18085,"flywireType: MLt2,statusLabel: Roughly traced",ACH,0.95,,,,,,ol_intrinsic,,,,,right,MeLo3a,MeLo3a,,,
43361,g14116,statusLabel: Roughly traced,GLUT,0.8,,,,,,ol_intrinsic,,,,,right,Dm12,Dm12,,,
43362,g10851,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm2,Tm2,,,
43363,g43363,"flywireType: CB2161,statusLabel: Roughly traced,supertype: 15746",ACH,0.95,,,,,,cb_intrinsic,ALPN,,ALlv1,,right,M_lvPNm30,M_lvPNm30,,,
43364,g12783,"flywireType: LC10c,statusLabel: Prelim Roughly traced,supertype: 12783",ACH,0.93,,,,,,visual_projection,,,VPNd2,,left,LC10c-2,LC10c-2,,,
43365,g42088,"mancBodyid: 23543,statusLabel: Prelim Roughly traced",ACH,0.97,,,,,,ascending_neuron,,BA,07B,,left,AN07B052,AN07B052,,,
43368,g12518,"statusLabel: Roughly traced,supertype: 12518",ACH,0.97,,,,,,cb_intrinsic,,,VLPl&p2_posterior,,left,PVLP121,PVLP121,,,
43369,g29747,"statusLabel: Prelim Roughly traced,supertype: 29602",GLUT,0.75,,,,,,cb_intrinsic,,,VPNp&v1_ventral,,left,PLP157,PLP157,,,
43370,g20297,"statusLabel: Roughly traced,supertype: 20297",ACH,0.94,,,,,,visual_projection,,,VPNv2,,right,LC16,LC16,,,
43371,g13979,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Tm1,Tm1,,,
43372,g10694,statusLabel: Roughly traced,ACH,0.9,,,,,,ol_intrinsic,,,,,right,L3,L3,,,
43373,g12473,statusLabel: Roughly traced,ACH,0.96,,,,,,ol_intrinsic,,,,,right,Mi1,Mi1,,,
43374,g19465,statusLabel: Prelim Roughly traced,GABA,0.82,,,,,,ol_intrinsic,,,,,left,Dm10,Dm10,,,
43375,g10350,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,L2,L2,,,
43376,g43376,"flywireType: CB1558,hemibrainType: AOTU055,AOTU056,AOTU057,AOTU058,statusLabel: Roughly traced,supertype: 40643",GABA,0.68,,,,,,cb_intrinsic,,,DL1_ventral,,right,AOTU055,AOTU055,,,
43377,g12970,statusLabel: Reviewed,,,,,,,,ol_intrinsic,,,,,left,T1,T1,,,
43378,g10465,statusLabel: Roughly traced,GLUT,0.84,,,,,,ol_intrinsic,,,,,right,L1,L1,,,
43379,g35736,"flywireType: KCapbp-m,hemibrainType: KCa'b'-m,instance: KCa'b'-m,statusLabel: Roughly traced,supertype: 17488",DA,0.72,,,,,,cb_intrinsic,Kenyon_Cell,,MBp3,,left,KCab-m,KCab-m,,,
43380,g14292,"statusLabel: Roughly traced,supertype: 14292",DA,0.72,,,,,,cb_intrinsic,Kenyon_Cell,,MBp2,,right,KCg-m,KCg-m,,,
43382,g27349,"flywireType: LTe09,statusLabel: Prelim Roughly traced",,,,,,,,visual_projection,,,,,left,LoVP8,LoVP8,,,
43383,g,"flywireType: LHPV4a7a,statusLabel: Prelim Roughly traced,supertype: 20550",GLUT,0.8,,,,,,cb_intrinsic,,,LHp1,,left,LHPV4a7,LHPV4a7,,,
43384,g14634,"flywireType: Li18,statusLabel: Roughly traced",GABA,0.89,,,,,,ol_intrinsic,,,,,right,Li19,Li19,,,
43385,g15043,"flywireType: Tm36,statusLabel: Roughly traced",ACH,0.95,,,,,,ol_intrinsic,,,,,right,TmY21,TmY21,,,
43386,g24925,"statusLabel: Roughly traced,supertype: 13804",ACH,0.79,,,,,,cb_intrinsic,,,LHp2,,left,CB2976,CB2976,,,
